method,cluster,cells,marker,median_arcsinh,relative_iqr
k-means,3,3148,CD25,-0.062415235,0.11137426724402587
Hierarchical (ward),0,2872,CD3,1.5476413,-0.7242795280827106
Hierarchical (ward),0,2872,CD27,-0.0063793873,-0.18908567837684442
Hierarchical (ward),0,2872,CD19,2.669815,1.9340310982872506
Hierarchical (ward),0,2872,CD4,-0.009616816,-0.30361435723794317
Hierarchical (ward),0,2872,CD8,0.62909645,-0.35127660573531266
Hierarchical (ward),0,2872,CD57,-0.06970154,-0.02898441722576663
Hierarchical (ward),0,2872,2DL1-S1,-0.082380086,-0.08187413226255542
Hierarchical (ward),0,2872,TRAIL,-0.09759483,-0.05813448313600079
Hierarchical (ward),0,2872,2DL2-L3-S2,-0.085805796,-0.09482833236276957
Hierarchical (ward),0,2872,CD16,-0.04995984,-0.03417170417129407
Hierarchical (ward),0,2872,CD10,-0.07494153,-0.05609566400783937
Hierarchical (ward),0,2872,3DL1-S1,-0.09480558,-0.06009611410142777
Hierarchical (ward),0,2872,CD117,-0.09714702,-0.11734067325935589
Hierarchical (ward),0,2872,2DS4,-0.088927254,-0.153656829117284
Hierarchical (ward),0,2872,ILT2-CD85j,1.5499443,0.20559703565270127
Hierarchical (ward),0,2872,NKp46,-0.084286995,-0.06948188305359775
Hierarchical (ward),0,2872,NKG2D,-0.07429491,-0.04051972604309989
Hierarchical (ward),0,2872,NKG2C,-0.089743495,-0.15149342627838056
Hierarchical (ward),0,2872,2B4,0.09165027,-0.4350319731105849
Hierarchical (ward),0,2872,CD33,1.283596,-0.2858132616437351
Hierarchical (ward),0,2872,CD11b,-0.06860139,-0.10849078537163771
Hierarchical (ward),0,2872,NKp30,-0.08177809,-0.04791845327564564
Hierarchical (ward),0,2872,CD122,-0.08708389,-0.05351610640268174
Hierarchical (ward),0,2872,3DL1,-0.08540202,-0.045370644766133124
Hierarchical (ward),0,2872,NKp44,-0.09584515,-0.0866669467522622
Hierarchical (ward),0,2872,CD127,-0.0654871,-0.10269158939833502
Hierarchical (ward),0,2872,2DL1,-0.089757204,-0.11241427946234069
Hierarchical (ward),0,2872,CD94,-0.084334694,-0.037851415879509014
Hierarchical (ward),0,2872,CD34,-0.07835084,-0.04186004102457989
Hierarchical (ward),0,2872,CCR7,0.35672244,0.2933799651980758
Hierarchical (ward),0,2872,2DL3,-0.0672932,-0.010874484635764313
Hierarchical (ward),0,2872,NKG2A,0.62594676,0.3181907478766833
Hierarchical (ward),0,2872,HLA-DR,5.752265,0.6305134680189528
Hierarchical (ward),0,2872,2DL4,1.9155645,0.6765532128281021
Hierarchical (ward),0,2872,CD56,0.31264552,0.02970068709569621
Hierarchical (ward),0,2872,2DL5,-0.07328598,-0.044416540153000277
Hierarchical (ward),0,2872,CD25,-0.071507476,0.036794741622143565
Hierarchical (ward),1,1911,CD3,1.5752702,-0.714434542701697
Hierarchical (ward),1,1911,CD27,-0.0112176435,-0.19185353287031856
Hierarchical (ward),1,1911,CD19,-0.046993587,-0.01647720455008949
Hierarchical (ward),1,1911,CD4,-0.02042429,-0.3086320019828926
Hierarchical (ward),1,1911,CD8,2.2455175,0.2090758708769727
Hierarchical (ward),1,1911,CD57,1.3998172,1.1041880171336458
Hierarchical (ward),1,1911,2DL1-S1,-0.020584414,0.4109077537762175
Hierarchical (ward),1,1911,TRAIL,-0.08973266,0.014836640816523505
Hierarchical (ward),1,1911,2DL2-L3-S2,0.20218873,2.226782440159499
Hierarchical (ward),1,1911,CD16,3.924189,2.1066086732452445
Hierarchical (ward),1,1911,CD10,0.35513356,2.7819136165096254
Hierarchical (ward),1,1911,3DL1-S1,-0.083432406,0.04318186982833858
Hierarchical (ward),1,1911,CD117,-0.056431178,0.23251659650943385
Hierarchical (ward),1,1911,2DS4,-0.053390455,0.11540776677507444
Hierarchical (ward),1,1911,ILT2-CD85j,0.4291065,-0.24414314347510535
Hierarchical (ward),1,1911,NKp46,1.7577323,5.1944949468297255
Hierarchical (ward),1,1911,NKG2D,1.3418443,1.022709328412056
Hierarchical (ward),1,1911,NKG2C,-0.029754164,0.23912950416947
Hierarchical (ward),1,1911,2B4,1.8835849,0.343178854576079
Hierarchical (ward),1,1911,CD33,1.6639909,-0.15984995088376774
Hierarchical (ward),1,1911,CD11b,-0.004468416,-0.0639056986311602
Hierarchical (ward),1,1911,NKp30,1.7224581,2.4099051923507333
Hierarchical (ward),1,1911,CD122,1.8866142,2.4872944558232066
Hierarchical (ward),1,1911,3DL1,-0.05017996,0.25191140079443086
Hierarchical (ward),1,1911,NKp44,-0.0850548,0.00872062391346939
Hierarchical (ward),1,1911,CD127,0.032268435,-0.052865597420453825
Hierarchical (ward),1,1911,2DL1,-0.031328686,0.34726455698436587
Hierarchical (ward),1,1911,CD94,2.91638,2.528566452026351
Hierarchical (ward),1,1911,CD34,0.17364118,0.16276219881634985
Hierarchical (ward),1,1911,CCR7,-0.043711103,-0.023154617097374083
Hierarchical (ward),1,1911,2DL3,-0.029805226,0.21534232908835396
Hierarchical (ward),1,1911,NKG2A,2.0883865,1.2708057093395118
Hierarchical (ward),1,1911,HLA-DR,1.9334865,-0.35175213678718953
Hierarchical (ward),1,1911,2DL4,0.048686743,-0.26729461231270407
Hierarchical (ward),1,1911,CD56,3.3916087,1.826099438423565
Hierarchical (ward),1,1911,2DL5,-0.01009948,0.18777974289079075
Hierarchical (ward),1,1911,CD25,-0.064041086,0.09803815196291084
Hierarchical (ward),2,6367,CD3,3.3954642,-0.06584613440441005
Hierarchical (ward),2,6367,CD27,0.11239144,-0.12113965417783289
Hierarchical (ward),2,6367,CD19,-0.03929168,-0.0109476893510597
Hierarchical (ward),2,6367,CD4,1.0720383,0.19856966563543402
Hierarchical (ward),2,6367,CD8,1.5282518,-0.039573230675565195
Hierarchical (ward),2,6367,CD57,-0.05001139,-0.013800988583505357
Hierarchical (ward),2,6367,2DL1-S1,-0.08021504,-0.06460921692235957
Hierarchical (ward),2,6367,TRAIL,-0.092734136,-0.013020940909183359
Hierarchical (ward),2,6367,2DL2-L3-S2,-0.07532376,-0.01032947648609965
Hierarchical (ward),2,6367,CD16,0.47391206,0.2480257447227498
Hierarchical (ward),2,6367,CD10,-0.06278253,0.024139968824031292
Hierarchical (ward),2,6367,3DL1-S1,-0.0902033,-0.018303523754939495
Hierarchical (ward),2,6367,CD117,-0.07168956,0.10140653573117321
Hierarchical (ward),2,6367,2DS4,-0.040511295,0.2129214943438528
Hierarchical (ward),2,6367,ILT2-CD85j,2.614587,0.6327887617464063
Hierarchical (ward),2,6367,NKp46,-0.044045325,0.04551757608451272
Hierarchical (ward),2,6367,NKG2D,-0.037257146,-0.012711990078833153
Hierarchical (ward),2,6367,NKG2C,-0.06073304,0.03740931296579734
Hierarchical (ward),2,6367,2B4,2.2317147,0.4943665327929235
Hierarchical (ward),2,6367,CD33,4.20285,0.6808636252046132
Hierarchical (ward),2,6367,CD11b,0.8591158,0.5364558591250087
Hierarchical (ward),2,6367,NKp30,-0.04998625,-0.004609973234022677
Hierarchical (ward),2,6367,CD122,-0.058357388,-0.016535474836850347
Hierarchical (ward),2,6367,3DL1,-0.08400312,-0.03356362825538683
Hierarchical (ward),2,6367,NKp44,-0.07803196,0.07080313573031113
Hierarchical (ward),2,6367,CD127,0.05765087,-0.03992817066115605
Hierarchical (ward),2,6367,2DL1,-0.07843191,-0.02331400244176116
Hierarchical (ward),2,6367,CD94,-0.045390643,-0.004543780555416003
Hierarchical (ward),2,6367,CD34,1.2361304,1.025523323453252
Hierarchical (ward),2,6367,CCR7,-0.028350381,-0.011012277853703093
Hierarchical (ward),2,6367,2DL3,-0.046413712,0.11512035197125099
Hierarchical (ward),2,6367,NKG2A,0.48406023,0.22576763700891453
Hierarchical (ward),2,6367,HLA-DR,5.0580134,0.4519381975385695
Hierarchical (ward),2,6367,2DL4,1.7283617,0.581908042805231
Hierarchical (ward),2,6367,CD56,0.5218905,0.15178316792140648
Hierarchical (ward),2,6367,2DL5,-0.027004281,0.12565837609773384
Hierarchical (ward),2,6367,CD25,-0.056657825,0.1585996858945412
Hierarchical (ward),3,7644,CD3,4.4665737,0.3158215477461965
Hierarchical (ward),3,7644,CD27,0.8549485,0.30365991929603686
Hierarchical (ward),3,7644,CD19,-0.05480325,-0.022084080781655233
Hierarchical (ward),3,7644,CD4,0.98915136,0.16008744087223314
Hierarchical (ward),3,7644,CD8,1.9559698,0.10870055888968193
Hierarchical (ward),3,7644,CD57,-0.022334293,0.007541319623325042
Hierarchical (ward),3,7644,2DL1-S1,-0.07367745,-0.012476050327702338
Hierarchical (ward),3,7644,TRAIL,-0.096181735,-0.045019151002628856
Hierarchical (ward),3,7644,2DL2-L3-S2,-0.08409936,-0.08107223394829975
Hierarchical (ward),3,7644,CD16,-0.04221415,-0.029999287130615802
Hierarchical (ward),3,7644,CD10,-0.08313498,-0.11016315666173637
Hierarchical (ward),3,7644,3DL1-S1,-0.09493595,-0.06127998535755988
Hierarchical (ward),3,7644,CD117,-0.09273875,-0.07946191748164994
Hierarchical (ward),3,7644,2DS4,-0.08373025,-0.1143080509846325
Hierarchical (ward),3,7644,ILT2-CD85j,-0.040582992,-0.4326077305987988
Hierarchical (ward),3,7644,NKp46,-0.086063236,-0.0745578833311135
Hierarchical (ward),3,7644,NKG2D,-0.01724936,0.002309737953641979
Hierarchical (ward),3,7644,NKG2C,-0.072061546,-0.03635671264694747
Hierarchical (ward),3,7644,2B4,-0.0025657492,-0.4759485905382955
Hierarchical (ward),3,7644,CD33,1.3339655,-0.2691339882989981
Hierarchical (ward),3,7644,CD11b,-0.022028182,-0.0761131990488225
Hierarchical (ward),3,7644,NKp30,-0.06334395,-0.022806520188442314
Hierarchical (ward),3,7644,CD122,-0.05428891,-0.01129797971050678
Hierarchical (ward),3,7644,3DL1,-0.088758126,-0.07369693236259642
Hierarchical (ward),3,7644,NKp44,-0.093193784,-0.06322867278888332
Hierarchical (ward),3,7644,CD127,0.95787764,0.4189173504237736
Hierarchical (ward),3,7644,2DL1,-0.07722497,-0.013818542622613339
Hierarchical (ward),3,7644,CD94,-0.053753488,-0.011696261434142123
Hierarchical (ward),3,7644,CD34,-0.07161211,-0.036388066252932026
Hierarchical (ward),3,7644,CCR7,-0.0039207796,0.008298825250163374
Hierarchical (ward),3,7644,2DL3,-0.086117685,-0.12446868070240039
Hierarchical (ward),3,7644,NKG2A,-0.05829432,-0.1275153296922606
Hierarchical (ward),3,7644,HLA-DR,1.6197329,-0.4324557893470057
Hierarchical (ward),3,7644,2DL4,-0.05917267,-0.3218257076446852
Hierarchical (ward),3,7644,CD56,-0.055773713,-0.18525084997188043
Hierarchical (ward),3,7644,2DL5,-0.08557567,-0.08957839740205163
Hierarchical (ward),3,7644,CD25,-0.09318282,-0.14099822970721082
Hierarchical (ward),4,519,CD3,3.1514237,-0.15280490469450925
Hierarchical (ward),4,519,CD27,0.3070345,-0.009788907971019325
Hierarchical (ward),4,519,CD19,-0.019235363,0.003451563096110802
Hierarchical (ward),4,519,CD4,0.9473729,0.14069080696257946
Hierarchical (ward),4,519,CD8,2.0800414,0.1517115244258083
Hierarchical (ward),4,519,CD57,0.00833605,0.03119177565655956
Hierarchical (ward),4,519,2DL1-S1,-0.063327044,0.07006197089107753
Hierarchical (ward),4,519,TRAIL,1.442329,14.234362570228432
Hierarchical (ward),4,519,2DL2-L3-S2,-0.03778042,0.29231874299547045
Hierarchical (ward),4,519,CD16,1.568305,0.8375494287745757
Hierarchical (ward),4,519,CD10,-0.02340407,0.2839933024547744
Hierarchical (ward),4,519,3DL1-S1,-0.079025835,0.0831972324827433
Hierarchical (ward),4,519,CD117,-0.06405991,0.1669654873629453
Hierarchical (ward),4,519,2DS4,-0.054309256,0.10845111739091962
Hierarchical (ward),4,519,ILT2-CD85j,1.6658599,0.2521086072444824
Hierarchical (ward),4,519,NKp46,-0.004669013,0.15804408116486182
Hierarchical (ward),4,519,NKG2D,0.200301,0.16564527586143898
Hierarchical (ward),4,519,NKG2C,-0.051015012,0.1006886323392412
Hierarchical (ward),4,519,2B4,1.7118096,0.26857940387625856
Hierarchical (ward),4,519,CD33,2.629996,0.1600314163881479
Hierarchical (ward),4,519,CD11b,0.5224015,0.3023729489140425
Hierarchical (ward),4,519,NKp30,0.027145624,0.10046304804310516
Hierarchical (ward),4,519,CD122,-0.0059504374,0.050929825704083345
Hierarchical (ward),4,519,3DL1,-0.073524274,0.05488017384248221
Hierarchical (ward),4,519,NKp44,-0.07635434,0.08563341279218425
Hierarchical (ward),4,519,CD127,0.4422107,0.15608195652142542
Hierarchical (ward),4,519,2DL1,-0.06741668,0.0633468910509273
Hierarchical (ward),4,519,CD94,0.22802266,0.22929812140211622
Hierarchical (ward),4,519,CD34,0.1988948,0.18326861419806956
Hierarchical (ward),4,519,CCR7,-0.017643977,-0.002549083116345414
Hierarchical (ward),4,519,2DL3,-0.037754916,0.16737085869480062
Hierarchical (ward),4,519,NKG2A,0.759201,0.4049908851042473
Hierarchical (ward),4,519,HLA-DR,3.6966214,0.10176115745690721
Hierarchical (ward),4,519,2DL4,0.9964938,0.2118934994168064
Hierarchical (ward),4,519,CD56,1.0452732,0.45714700044284934
Hierarchical (ward),4,519,2DL5,-0.032985885,0.10367731246901785
Hierarchical (ward),4,519,CD25,-0.07745584,-0.011996991294827038
Hierarchical (ward),5,687,CD3,3.3359454,-0.0870544302046605
Hierarchical (ward),5,687,CD27,0.07935432,-0.14003942291665944
Hierarchical (ward),5,687,CD19,-0.027100638,-0.0021952399867673986
Hierarchical (ward),5,687,CD4,0.31138408,-0.15458208947062707
Hierarchical (ward),5,687,CD8,2.3426483,0.24274746454553103
Hierarchical (ward),5,687,CD57,1.5308369,1.2052196795882535
Hierarchical (ward),5,687,2DL1-S1,-0.024843486,0.3769443141303423
Hierarchical (ward),5,687,TRAIL,-0.07808431,0.12294847654163278
Hierarchical (ward),5,687,2DL2-L3-S2,-0.021069115,0.4270335984624767
Hierarchical (ward),5,687,CD16,2.3201876,1.242570845077397
Hierarchical (ward),5,687,CD10,-0.019302487,0.31105910462683994
Hierarchical (ward),5,687,3DL1-S1,1.8613845,17.70375013868734
Hierarchical (ward),5,687,CD117,-0.06350142,0.17176444815361988
Hierarchical (ward),5,687,2DS4,-0.03629331,0.24485770460157763
Hierarchical (ward),5,687,ILT2-CD85j,1.0393821,0.0007321342520332282
Hierarchical (ward),5,687,NKp46,0.0345362,0.270081633470401
Hierarchical (ward),5,687,NKG2D,1.0336913,0.7913498369352913
Hierarchical (ward),5,687,NKG2C,-0.043444224,0.14998612144551135
Hierarchical (ward),5,687,2B4,1.8493793,0.32832388506942933
Hierarchical (ward),5,687,CD33,1.9556776,-0.06326127489276963
Hierarchical (ward),5,687,CD11b,0.27846837,0.13279124398300302
Hierarchical (ward),5,687,NKp30,0.7509019,1.0864012056953007
Hierarchical (ward),5,687,CD122,1.2272966,1.6385318513573233
Hierarchical (ward),5,687,3DL1,3.06048,26.506574920817236
Hierarchical (ward),5,687,NKp44,0.18648767,2.409178462596664
Hierarchical (ward),5,687,CD127,0.07536455,-0.0308995084209766
Hierarchical (ward),5,687,2DL1,-0.042855553,0.2565784110348385
Hierarchical (ward),5,687,CD94,1.1900046,1.0520513151673745
Hierarchical (ward),5,687,CD34,0.05599939,0.06723486090856892
Hierarchical (ward),5,687,CCR7,-0.030258154,-0.012520333113660156
Hierarchical (ward),5,687,2DL3,-0.02525014,0.24282947821046588
Hierarchical (ward),5,687,NKG2A,0.37507436,0.1547755952767794
Hierarchical (ward),5,687,HLA-DR,2.5716958,-0.18759203066624486
Hierarchical (ward),5,687,2DL4,0.3022318,-0.13910842849375663
Hierarchical (ward),5,687,CD56,2.3364582,1.2104794998790993
Hierarchical (ward),5,687,2DL5,-0.050589703,0.038987213672064834
Hierarchical (ward),5,687,CD25,-0.064640276,0.09312326380914794
Leiden,0,3588,CD3,3.329156,-0.08947370852345449
Leiden,0,3588,CD27,-0.010114534,-0.191222456249074
Leiden,0,3588,CD19,-0.04642337,-0.016067820931518005
Leiden,0,3588,CD4,1.048478,0.1876312443680359
Leiden,0,3588,CD8,1.4238535,-0.07576418515818402
Leiden,0,3588,CD57,-0.060512606,-0.02189866647494294
Leiden,0,3588,2DL1-S1,-0.086052746,-0.11116129590363759
Leiden,0,3588,TRAIL,-0.09550677,-0.0387546163640274
Leiden,0,3588,2DL2-L3-S2,-0.08144899,-0.059706778947364945
Leiden,0,3588,CD16,0.30593508,0.15754050574651307
Leiden,0,3588,CD10,-0.075361274,-0.05886549552066425
Leiden,0,3588,3DL1-S1,-0.09149408,-0.03002491817943733
Leiden,0,3588,CD117,-0.0914936,-0.06876278292590922
Leiden,0,3588,2DS4,-0.020509172,0.36436628388932396
Leiden,0,3588,ILT2-CD85j,2.821568,0.7158406056892233
Leiden,0,3588,NKp46,-0.046791747,0.03766906910977902
Leiden,0,3588,NKG2D,-0.050120875,-0.02237000253770701
Leiden,0,3588,NKG2C,-0.060965993,0.03589242646938919
Leiden,0,3588,2B4,2.5475295,0.6315202234832619
Leiden,0,3588,CD33,4.644273,0.8270356877109134
Leiden,0,3588,CD11b,1.1178294,0.716312945272844
Leiden,0,3588,NKp30,-0.056058623,-0.012882072082102312
Leiden,0,3588,CD122,-0.06903099,-0.03027597945091094
Leiden,0,3588,3DL1,-0.085671745,-0.047647191641733165
Leiden,0,3588,NKp44,-0.08760588,-0.013831123979131433
Leiden,0,3588,CD127,-0.012801889,-0.07583793743245563
Leiden,0,3588,2DL1,-0.08212015,-0.05233074383116248
Leiden,0,3588,CD94,-0.052093104,-0.010276186435819935
Leiden,0,3588,CD34,1.800366,1.4836932677955408
Leiden,0,3588,CCR7,-0.036333695,-0.01732292580125472
Leiden,0,3588,2DL3,-0.044927042,0.12409149157405257
Leiden,0,3588,NKG2A,0.5317894,0.2568578365659781
Leiden,0,3588,HLA-DR,5.2550354,0.502616155198846
Leiden,0,3588,2DL4,1.9328727,0.6853037736069185
Leiden,0,3588,CD56,0.6135186,0.20524290585240348
Leiden,0,3588,2DL5,0.04318417,0.38358523834629904
Leiden,0,3588,CD25,-0.07528517,0.005808065274043979
Leiden,1,2881,CD3,5.0846233,0.5360507205688196
Leiden,1,2881,CD27,1.3972248,0.6138835128309825
Leiden,1,2881,CD19,-0.055965945,-0.02291882838766258
Leiden,1,2881,CD4,2.7373872,0.9717474329104545
Leiden,1,2881,CD8,0.67489535,-0.3353998677897598
Leiden,1,2881,CD57,-0.0748265,-0.03293636925532296
Leiden,1,2881,2DL1-S1,-0.09115733,-0.1518671832333519
Leiden,1,2881,TRAIL,-0.09679864,-0.05074486042593556
Leiden,1,2881,2DL2-L3-S2,-0.08812273,-0.11350586036446947
Leiden,1,2881,CD16,-0.05488471,-0.03682461615924871
Leiden,1,2881,CD10,-0.08576688,-0.12753073821990174
Leiden,1,2881,3DL1-S1,-0.09650888,-0.07556350234454867
