method,direction,marker,value,supported_donors
CellCNN,positive,2DL2-L3-S2,-0.004546813655073976,20
CellCNN,positive,CD16,2.890304004044297,20
CellCNN,positive,CD10,-0.016980754346139892,20
CellCNN,positive,3DL1-S1,-0.07512437796784921,20
CellCNN,positive,CD117,-0.0861165160413414,20
CellCNN,positive,2DS4,-0.05091865093503835,20
CellCNN,positive,ILT2-CD85j,1.0003142841760724,20
CellCNN,positive,NKp46,0.28810913060884014,20
CellCNN,positive,NKG2D,0.24919358593381646,20
CellCNN,positive,NKG2C,0.8116716564454497,20
CellCNN,positive,2B4,1.3824635611587262,20
CellCNN,positive,CD33,1.6691311596445502,20
CellCNN,positive,CD11b,0.129853338156824,20
CellCNN,positive,NKp30,0.26992954738251995,20
CellCNN,positive,CD122,0.7604055370022469,20
CellCNN,positive,3DL1,-0.08125032053206675,20
CellCNN,positive,NKp44,-0.05854932980687942,20
CellCNN,positive,CD127,0.1880505916100519,20
CellCNN,positive,2DL1,-0.0585149312970503,20
CellCNN,positive,CD94,2.772747520328873,20
CellCNN,positive,CD34,0.12986554145299167,20
CellCNN,positive,CCR7,-0.020805230589908824,20
CellCNN,positive,2DL3,-0.04202775127175571,20
CellCNN,positive,NKG2A,-0.0298163801521318,20
CellCNN,positive,HLA-DR,2.0944355115056563,20
CellCNN,positive,2DL4,0.04756117535592386,20
CellCNN,positive,CD56,2.7559569354158238,20
CellCNN,positive,2DL5,-0.06263871819684254,20
CellCNN,positive,CD25,-0.07004197179416513,20
CellCNN,negative,CD3,3.1141660421418136,20
CellCNN,negative,CD27,0.06331913908451903,20
CellCNN,negative,CD19,0.054299822537600156,20
CellCNN,negative,CD4,0.9039776983105432,20
CellCNN,negative,CD8,1.0490375584590894,20
CellCNN,negative,CD57,-0.06322492566316172,20
CellCNN,negative,2DL1-S1,-0.07607655763192117,20
CellCNN,negative,TRAIL,-0.0898455296224196,20
CellCNN,negative,2DL2-L3-S2,-0.07920544760944002,20
CellCNN,negative,CD16,-0.039892019162981504,20
CellCNN,negative,CD10,-0.0725666849558302,20
CellCNN,negative,3DL1-S1,-0.09013163365981197,20
CellCNN,negative,CD117,-0.08898331519406097,20
CellCNN,negative,2DS4,-0.07417388593115842,20
CellCNN,negative,ILT2-CD85j,0.7285757700783817,20
CellCNN,negative,NKp46,-0.06287236628180926,20
CellCNN,negative,NKG2D,-0.06751371813795912,20
CellCNN,negative,NKG2C,-0.06996026984648249,20
CellCNN,negative,2B4,0.37985448647968256,20
CellCNN,negative,CD33,1.6526295409883787,20
CellCNN,negative,CD11b,-0.05917917794162779,20
CellCNN,negative,NKp30,-0.06002342457300218,20
CellCNN,negative,CD122,-0.06422755387548107,20
CellCNN,negative,3DL1,-0.07713880370209214,20
CellCNN,negative,NKp44,-0.08884625659531206,20
CellCNN,negative,CD127,-0.016321820923657946,20
CellCNN,negative,2DL1,-0.05795993310133414,20
CellCNN,negative,CD94,-0.06303857432245621,20
CellCNN,negative,CD34,-0.05834260398848902,20
CellCNN,negative,CCR7,0.4781606473672428,20
CellCNN,negative,2DL3,-0.06557297558270375,20
CellCNN,negative,NKG2A,-0.015483124574526452,20
CellCNN,negative,HLA-DR,3.1936463958012347,20
CellCNN,negative,2DL4,0.44641785839225856,20
CellCNN,negative,CD56,0.06434965136474374,20
CellCNN,negative,2DL5,-0.06899934840317098,20
CellCNN,negative,CD25,-0.0817519642063615,20
Citrus,positive,CD3,4.302486090598539,20
Citrus,positive,CD27,0.554235348690901,20
Citrus,positive,CD19,-0.03190336146635364,20
Citrus,positive,CD4,0.3658881485443134,20
Citrus,positive,CD8,3.7066697117846985,20
Citrus,positive,CD57,1.0927857254747346,20
Citrus,positive,2DL1-S1,-0.03133098744818112,20
Citrus,positive,TRAIL,-0.0856907198644444,20
Citrus,positive,2DL2-L3-S2,-0.06386939188145943,20
Citrus,positive,CD16,-0.012516959835369146,20
Citrus,positive,CD10,-0.059537475126140216,20
Citrus,positive,3DL1-S1,-0.08090129064327313,20
Citrus,positive,CD117,-0.07941608353674773,20
Citrus,positive,2DS4,-0.07668012070530297,20
Citrus,positive,ILT2-CD85j,0.35681395512822145,20
Citrus,positive,NKp46,-0.06705474465747524,20
Citrus,positive,NKG2D,0.9393415577882038,20
Citrus,positive,NKG2C,-0.0553384193097388,20
Citrus,positive,2B4,0.954082681165767,20
Citrus,positive,CD33,1.7783234924436533,20
Citrus,positive,CD11b,0.7202463184756176,20
Citrus,positive,NKp30,-0.02353095188504974,20
Citrus,positive,CD122,-0.0024063265086665107,20
Citrus,positive,3DL1,-0.07593447124300144,20
Citrus,positive,NKp44,-0.08494543383786085,20
Citrus,positive,CD127,0.312322876864441,20
Citrus,positive,2DL1,-0.06838523508592781,20
Citrus,positive,CD94,0.10360396149927997,20
Citrus,positive,CD34,-0.04728771748790293,20
Citrus,positive,CCR7,-0.019062339635834348,20
Citrus,positive,2DL3,-0.06877240418580446,20
Citrus,positive,NKG2A,-0.02278420453587653,20
Citrus,positive,HLA-DR,2.068381518365237,20
Citrus,positive,2DL4,-0.019799157499882755,20
Citrus,positive,CD56,0.030402604644383865,20
Citrus,positive,2DL5,-0.0726290204463571,20
Citrus,positive,CD25,-0.08129194328490516,20
Citrus,negative,CD3,3.8057243849685585,20
Citrus,negative,CD27,0.19034424864129046,20
Citrus,negative,CD19,-0.049175262962428884,20
Citrus,negative,CD4,1.0749452793209302,20
Citrus,negative,CD8,1.1348858615083222,20
Citrus,negative,CD57,-0.06958099428415802,20
Citrus,negative,2DL1-S1,-0.08037471221631035,20
Citrus,negative,TRAIL,-0.09448229233024819,20
Citrus,negative,2DL2-L3-S2,-0.08104517662954336,20
Citrus,negative,CD16,-0.03526665552993705,20
Citrus,negative,CD10,-0.07672828231347965,20
Citrus,negative,3DL1-S1,-0.0926180952886031,20
Citrus,negative,CD117,-0.08781908308284733,20
Citrus,negative,2DS4,-0.06318101161374155,20
Citrus,negative,ILT2-CD85j,0.7997295563739746,20
Citrus,negative,NKp46,-0.07213054705332805,20
Citrus,negative,NKG2D,-0.06097922028579458,20
Citrus,negative,NKG2C,-0.0741921660358241,20
Citrus,negative,2B4,0.9162411231789591,20
Citrus,negative,CD33,2.5835694982702355,20
Citrus,negative,CD11b,-0.00955437075394588,20
Citrus,negative,NKp30,-0.06386269472736271,20
Citrus,negative,CD122,-0.06752979325074672,20
Citrus,negative,3DL1,-0.08503874411911999,20
Citrus,negative,NKp44,-0.08729892103635395,20
Citrus,negative,CD127,-0.012902106398365254,20
Citrus,negative,2DL1,-0.08073835711685078,20
Citrus,negative,CD94,-0.0622440247500246,20
Citrus,negative,CD34,-0.02318561449938763,20
Citrus,negative,CCR7,-0.02955266119380443,20
Citrus,negative,2DL3,-0.0708215060052012,20
Citrus,negative,NKG2A,-0.011968685441285232,20
Citrus,negative,HLA-DR,3.1204723108631556,20
Citrus,negative,2DL4,0.46939518112175943,20
Citrus,negative,CD56,0.0952896248015998,20
Citrus,negative,2DL5,-0.06054835861748477,20
Citrus,negative,CD25,-0.08221763503387501,20
Kartenreferenz,all,CD3,3.9343921506886472,20
Kartenreferenz,all,CD27,0.28794741364728416,20
Kartenreferenz,all,CD19,-0.02724561794846909,20
Kartenreferenz,all,CD4,0.5830771459468256,20
Kartenreferenz,all,CD8,1.8789187477406886,20
Kartenreferenz,all,CD57,-0.028953828807472673,20
Kartenreferenz,all,2DL1-S1,-0.06804002505469427,20
Kartenreferenz,all,TRAIL,-0.0907547710761328,20
Kartenreferenz,all,2DL2-L3-S2,-0.0732037722841071,20
Kartenreferenz,all,CD16,-0.019551528266034807,20
Kartenreferenz,all,CD10,-0.06806927798141368,20
Kartenreferenz,all,3DL1-S1,-0.08847171864646873,20
Kartenreferenz,all,CD117,-0.08230009954493095,20
Kartenreferenz,all,2DS4,-0.07242323121393057,20
Kartenreferenz,all,ILT2-CD85j,0.9405971533272561,20
Kartenreferenz,all,NKp46,-0.06286802189623569,20
Kartenreferenz,all,NKG2D,-0.021259596669534316,20
Kartenreferenz,all,NKG2C,-0.06334004815677671,20
Kartenreferenz,all,2B4,1.0542560434376365,20
Kartenreferenz,all,CD33,2.165956712015427,20
Kartenreferenz,all,CD11b,0.1738689623808523,20
Kartenreferenz,all,NKp30,-0.0429833062551584,20
Kartenreferenz,all,CD122,-0.04909757393445862,20
Kartenreferenz,all,3DL1,-0.08196226042025595,20
Kartenreferenz,all,NKp44,-0.08648444830115565,20
Kartenreferenz,all,CD127,0.01583997211964539,20
Kartenreferenz,all,2DL1,-0.07566794646265831,20
Kartenreferenz,all,CD94,-0.036351720671986186,20
Kartenreferenz,all,CD34,-0.029382799229900714,20
Kartenreferenz,all,CCR7,-0.015332049065029687,20
Kartenreferenz,all,2DL3,-0.06924289893357151,20
Kartenreferenz,all,NKG2A,0.07611538963591938,20
Kartenreferenz,all,HLA-DR,3.1648288412734122,20
Kartenreferenz,all,2DL4,0.6388806514518068,20
Kartenreferenz,all,CD56,0.20416558823764208,20
Kartenreferenz,all,2DL5,-0.06332991548913253,20
Kartenreferenz,all,CD25,-0.07852692356461155,20
