cell_id,sample_id,event_index,kmeans_k6,kmeans_k10,kmeans_k14,ward_k6,ward_k10,ward_k14,leiden_r0.5,leiden_r1.0,leiden_r1.5
gated_alive:a_001:7383,a_001,7383,3,3,4,3,6,8,1,2,12
gated_alive:a_001:7422,a_001,7422,3,4,4,1,5,5,1,2,3
gated_alive:a_001:7472,a_001,7472,1,0,0,1,2,2,3,1,6
gated_alive:a_001:7541,a_001,7541,2,6,2,4,7,10,1,2,3
gated_alive:a_001:7706,a_001,7706,2,6,2,3,6,8,2,4,2
gated_alive:a_001:7765,a_001,7765,3,3,4,1,5,5,1,2,5
gated_alive:a_001:7771,a_001,7771,3,3,4,1,5,5,1,2,5
gated_alive:a_001:7908,a_001,7908,1,3,4,1,5,5,1,2,5
gated_alive:a_001:7963,a_001,7963,3,9,12,1,5,5,1,2,3
gated_alive:a_001:8487,a_001,8487,5,2,1,0,1,1,0,0,0
gated_alive:a_001:8703,a_001,8703,1,4,0,1,5,5,1,2,5
gated_alive:a_001:8713,a_001,8713,1,4,0,1,5,5,3,1,4
gated_alive:a_001:8850,a_001,8850,5,2,1,0,1,1,0,0,0
gated_alive:a_001:8917,a_001,8917,3,3,5,3,6,9,2,6,9
gated_alive:a_001:8982,a_001,8982,3,4,0,1,5,5,1,2,3
gated_alive:a_001:9385,a_001,9385,1,4,0,1,5,5,3,1,4
gated_alive:a_001:9532,a_001,9532,3,4,8,1,5,5,1,2,3
gated_alive:a_001:9679,a_001,9679,3,4,5,3,6,9,2,6,9
gated_alive:a_001:9763,a_001,9763,0,2,1,0,1,1,0,0,0
gated_alive:a_001:9787,a_001,9787,1,0,0,1,2,2,3,1,4
gated_alive:a_001:10019,a_001,10019,1,4,4,1,5,5,1,2,5
gated_alive:a_001:10091,a_001,10091,2,6,2,4,7,10,2,4,2
gated_alive:a_001:10179,a_001,10179,0,5,11,2,3,3,4,3,1
gated_alive:a_001:10352,a_001,10352,0,5,11,3,6,8,4,3,1
gated_alive:a_001:10467,a_001,10467,5,2,1,0,1,1,0,0,0
gated_alive:a_001:10485,a_001,10485,3,3,4,3,4,4,1,2,5
gated_alive:a_001:10640,a_001,10640,0,5,11,2,3,3,4,3,1
gated_alive:a_001:10780,a_001,10780,2,6,2,3,4,4,2,4,2
gated_alive:a_001:10840,a_001,10840,2,6,5,3,6,9,2,6,9
gated_alive:a_001:10877,a_001,10877,3,3,4,1,5,5,1,2,5
gated_alive:a_001:11449,a_001,11449,1,0,0,1,5,5,3,1,4
gated_alive:a_001:11455,a_001,11455,0,5,11,2,3,3,4,3,1
gated_alive:a_001:11507,a_001,11507,1,4,0,1,5,5,3,1,4
gated_alive:a_001:11518,a_001,11518,3,3,4,1,5,5,1,2,5
gated_alive:a_001:11547,a_001,11547,3,3,4,1,5,5,1,2,3
gated_alive:a_001:11605,a_001,11605,5,8,10,0,0,0,4,8,10
gated_alive:a_001:11832,a_001,11832,0,9,11,3,6,8,4,3,1
gated_alive:a_001:11862,a_001,11862,0,4,8,2,3,3,4,5,7
gated_alive:a_001:12194,a_001,12194,3,3,4,1,5,5,1,2,12
gated_alive:a_001:12437,a_001,12437,1,4,0,1,2,2,3,1,4
gated_alive:a_001:12453,a_001,12453,3,3,4,1,5,5,1,2,5
gated_alive:a_001:12490,a_001,12490,3,3,4,1,5,5,1,2,5
gated_alive:a_001:12602,a_001,12602,3,3,4,1,5,5,1,2,5
gated_alive:a_001:12633,a_001,12633,1,3,4,1,5,5,1,2,5
gated_alive:a_001:13161,a_001,13161,3,3,4,0,1,1,1,2,5
gated_alive:a_001:13221,a_001,13221,2,6,2,5,8,11,2,4,2
gated_alive:a_001:13224,a_001,13224,3,3,4,1,5,5,1,2,3
gated_alive:a_001:13526,a_001,13526,1,0,0,1,5,5,3,1,12
gated_alive:a_001:13631,a_001,13631,3,9,12,3,4,4,1,2,5
gated_alive:a_001:13657,a_001,13657,0,5,11,0,0,0,4,8,10
gated_alive:a_001:13690,a_001,13690,1,0,0,1,2,2,3,1,4
gated_alive:a_001:14003,a_001,14003,5,2,1,0,1,1,0,0,0
gated_alive:a_001:14331,a_001,14331,5,2,1,0,1,1,0,0,0
gated_alive:a_001:14379,a_001,14379,3,9,12,3,6,8,1,6,3
gated_alive:a_001:14504,a_001,14504,1,0,0,1,2,2,3,1,4
gated_alive:a_001:14728,a_001,14728,5,8,10,3,4,4,0,8,10
gated_alive:a_001:14738,a_001,14738,3,3,4,1,5,5,1,2,5
gated_alive:a_001:14848,a_001,14848,0,4,8,3,4,4,2,5,7
gated_alive:a_001:14933,a_001,14933,3,3,4,1,5,5,1,2,3
gated_alive:a_001:14941,a_001,14941,0,5,11,2,3,3,4,3,1
gated_alive:a_001:15448,a_001,15448,1,0,0,1,5,5,3,1,4
gated_alive:a_001:15516,a_001,15516,3,3,4,1,5,5,1,2,5
gated_alive:a_001:15936,a_001,15936,1,4,0,1,2,2,3,1,4
gated_alive:a_001:16151,a_001,16151,3,8,10,0,0,0,0,8,10
gated_alive:a_001:16377,a_001,16377,5,8,10,0,1,1,0,0,12
gated_alive:a_001:16431,a_001,16431,1,3,6,3,9,12,1,2,5
gated_alive:a_001:16486,a_001,16486,5,8,10,0,0,6,0,0,15
gated_alive:a_001:16603,a_001,16603,3,3,4,1,5,5,1,2,5
gated_alive:a_001:16657,a_001,16657,3,3,4,1,5,5,1,2,5
gated_alive:a_001:17588,a_001,17588,5,2,1,0,1,1,0,0,8
gated_alive:a_001:18362,a_001,18362,3,9,4,1,5,5,1,2,3
gated_alive:a_001:18584,a_001,18584,5,2,1,0,1,1,0,0,8
gated_alive:a_001:18600,a_001,18600,5,8,10,0,1,1,0,0,0
gated_alive:a_001:18885,a_001,18885,2,1,7,4,7,13,2,4,2
gated_alive:a_001:18912,a_001,18912,5,2,1,0,0,7,0,0,0
gated_alive:a_001:19148,a_001,19148,3,3,4,1,5,5,1,2,3
gated_alive:a_001:19176,a_001,19176,0,5,11,2,3,3,4,3,1
gated_alive:a_001:19425,a_001,19425,2,9,3,3,6,8,2,6,3
gated_alive:a_001:19581,a_001,19581,1,3,6,1,5,5,1,2,5
gated_alive:a_001:19624,a_001,19624,0,2,1,0,1,1,0,0,0
gated_alive:a_001:19809,a_001,19809,3,3,4,1,5,5,1,2,5
gated_alive:a_001:20031,a_001,20031,1,0,0,1,2,2,3,1,4
gated_alive:a_001:20115,a_001,20115,2,6,2,4,7,10,2,4,2
gated_alive:a_001:20618,a_001,20618,1,0,0,1,2,2,3,8,10
gated_alive:a_001:21032,a_001,21032,3,3,4,1,5,5,1,2,3
gated_alive:a_001:21422,a_001,21422,0,5,8,0,0,7,0,7,12
gated_alive:a_001:21575,a_001,21575,3,9,12,1,5,5,1,6,3
gated_alive:a_001:21617,a_001,21617,5,2,1,0,1,1,0,0,0
gated_alive:a_001:21809,a_001,21809,5,2,13,3,9,12,5,7,11
gated_alive:a_001:21922,a_001,21922,1,0,0,1,2,2,3,1,4
gated_alive:a_001:22334,a_001,22334,0,5,11,2,3,3,4,3,1
gated_alive:a_001:22648,a_001,22648,5,2,1,0,1,1,0,0,0
gated_alive:a_001:22656,a_001,22656,1,0,0,3,6,8,3,1,4
gated_alive:a_001:22667,a_001,22667,1,4,0,1,5,5,1,1,4
gated_alive:a_001:22705,a_001,22705,5,8,10,1,5,5,0,0,9
gated_alive:a_001:22968,a_001,22968,3,3,4,1,5,5,1,2,5
gated_alive:a_001:23064,a_001,23064,3,3,4,1,5,5,1,2,5
gated_alive:a_001:23066,a_001,23066,3,3,4,1,5,5,1,2,5
gated_alive:a_001:23099,a_001,23099,1,0,0,1,2,2,3,1,4
gated_alive:a_001:23368,a_001,23368,0,2,1,0,1,1,0,0,0
gated_alive:a_001:23567,a_001,23567,0,5,11,2,3,3,4,3,1
gated_alive:a_001:23619,a_001,23619,0,5,11,2,3,3,4,3,1
gated_alive:a_001:23698,a_001,23698,0,4,5,3,6,8,2,5,7
gated_alive:a_001:23860,a_001,23860,3,3,4,1,5,5,1,2,5
gated_alive:a_001:23903,a_001,23903,5,2,1,0,1,1,0,0,0
gated_alive:a_001:24068,a_001,24068,2,6,2,4,7,10,2,4,2
gated_alive:a_001:24197,a_001,24197,5,2,1,0,1,1,0,0,0
gated_alive:a_001:24387,a_001,24387,3,9,12,0,1,1,1,2,3
gated_alive:a_001:24554,a_001,24554,3,4,8,1,5,5,1,2,5
gated_alive:a_001:24625,a_001,24625,3,3,4,0,0,6,4,3,5
gated_alive:a_001:24728,a_001,24728,5,2,5,3,6,9,0,0,9
gated_alive:a_001:24757,a_001,24757,1,0,0,1,2,2,3,8,10
gated_alive:a_001:24818,a_001,24818,3,3,4,1,5,5,1,2,3
gated_alive:a_001:24911,a_001,24911,1,4,0,1,2,2,3,1,4
gated_alive:a_001:25103,a_001,25103,0,4,8,3,6,8,2,5,7
gated_alive:a_001:25330,a_001,25330,1,3,4,3,4,4,1,2,5
gated_alive:a_001:25465,a_001,25465,3,3,4,1,5,5,1,2,12
gated_alive:a_001:25516,a_001,25516,1,4,0,1,5,5,3,1,4
gated_alive:a_001:25586,a_001,25586,0,4,5,3,6,8,2,6,9
gated_alive:a_001:25811,a_001,25811,0,2,1,0,1,1,0,0,0
gated_alive:a_001:25928,a_001,25928,3,4,0,1,5,5,1,2,3
gated_alive:a_001:25966,a_001,25966,3,3,4,1,5,5,1,2,5
gated_alive:a_001:26056,a_001,26056,5,2,1,0,1,1,0,0,0
gated_alive:a_001:26336,a_001,26336,0,5,11,2,3,3,4,3,1
gated_alive:a_001:26342,a_001,26342,5,2,10,0,1,1,0,0,8
gated_alive:a_001:26346,a_001,26346,1,4,0,1,2,2,3,1,4
gated_alive:a_001:26681,a_001,26681,5,8,3,0,0,7,0,7,12
gated_alive:a_001:27043,a_001,27043,3,9,12,3,6,8,1,2,3
gated_alive:a_001:27074,a_001,27074,3,9,12,1,5,5,1,6,3
gated_alive:a_001:27227,a_001,27227,3,9,12,1,5,5,1,2,3
gated_alive:a_001:27409,a_001,27409,3,4,4,1,5,5,1,2,3
gated_alive:a_001:27511,a_001,27511,1,0,0,1,2,2,3,1,4
gated_alive:a_001:27583,a_001,27583,5,8,10,0,1,1,0,0,0
gated_alive:a_001:27801,a_001,27801,1,0,0,1,2,2,3,1,4
gated_alive:a_001:28099,a_001,28099,0,5,11,2,3,3,5,3,11
gated_alive:a_001:28475,a_001,28475,0,4,8,0,1,1,4,5,7
gated_alive:a_001:28482,a_001,28482,5,8,1,0,0,7,0,7,12
gated_alive:a_001:29024,a_001,29024,1,0,0,1,2,2,3,1,4
gated_alive:a_001:29675,a_001,29675,1,0,0,1,5,5,3,1,4
gated_alive:a_001:29795,a_001,29795,3,3,4,1,5,5,1,2,3
gated_alive:a_001:29867,a_001,29867,3,3,4,1,5,5,1,2,5
gated_alive:a_001:30023,a_001,30023,4,7,9,5,8,11,6,9,13
gated_alive:a_001:30042,a_001,30042,4,5,11,0,1,1,6,9,13
gated_alive:a_001:30190,a_001,30190,5,8,3,0,1,1,0,7,11
gated_alive:a_001:30337,a_001,30337,2,9,12,4,7,10,2,4,2
gated_alive:a_001:30348,a_001,30348,3,3,4,1,5,5,1,2,5
gated_alive:a_001:30473,a_001,30473,5,2,1,0,1,1,0,0,0
gated_alive:a_001:30713,a_001,30713,5,8,10,0,0,6,0,0,15
gated_alive:a_001:30803,a_001,30803,2,6,13,3,9,12,2,4,2
gated_alive:a_001:31236,a_001,31236,3,9,12,3,6,8,1,6,3
gated_alive:a_001:31248,a_001,31248,1,0,0,2,3,3,3,1,4
gated_alive:a_001:31741,a_001,31741,1,4,0,1,5,5,3,1,4
gated_alive:a_001:32706,a_001,32706,0,5,11,2,3,3,4,3,1
gated_alive:a_001:32938,a_001,32938,3,3,4,1,5,5,1,2,5
gated_alive:a_001:33318,a_001,33318,3,3,4,1,5,5,1,2,5
gated_alive:a_001:33486,a_001,33486,5,2,1,0,1,1,0,0,0
gated_alive:a_001:33547,a_001,33547,0,5,11,2,3,3,4,3,1
gated_alive:a_001:33644,a_001,33644,3,4,8,3,6,9,2,6,9
gated_alive:a_001:33718,a_001,33718,0,5,11,2,3,3,4,3,1
gated_alive:a_001:33962,a_001,33962,3,3,4,1,5,5,1,2,5
gated_alive:a_001:34126,a_001,34126,1,0,0,1,5,5,3,1,4
gated_alive:a_001:34268,a_001,34268,5,2,1,0,1,1,0,0,0
gated_alive:a_001:34300,a_001,34300,5,9,12,3,6,8,4,8,10
gated_alive:a_001:34330,a_001,34330,0,4,8,2,3,3,2,5,7
gated_alive:a_001:34488,a_001,34488,5,2,1,0,1,1,0,0,8
gated_alive:a_001:35060,a_001,35060,1,4,0,1,5,5,1,2,3
gated_alive:a_001:35433,a_001,35433,0,2,13,3,9,12,5,7,11
gated_alive:a_001:35458,a_001,35458,2,1,7,4,7,10,2,4,2
gated_alive:a_001:35558,a_001,35558,0,5,8,2,3,3,4,5,7
gated_alive:a_001:35604,a_001,35604,3,3,4,1,5,5,1,2,3
gated_alive:a_001:35650,a_001,35650,1,0,0,1,2,2,3,1,6
gated_alive:a_001:35663,a_001,35663,5,2,1,0,1,1,0,0,8
gated_alive:a_001:35686,a_001,35686,3,4,8,1,5,5,1,2,3
gated_alive:a_001:35755,a_001,35755,3,3,4,1,5,5,1,2,5
gated_alive:a_001:35795,a_001,35795,0,5,11,2,3,3,4,3,1
gated_alive:a_001:35805,a_001,35805,3,3,4,1,5,5,1,2,5
gated_alive:a_001:35912,a_001,35912,5,2,1,0,1,1,0,0,8
gated_alive:a_001:36024,a_001,36024,3,3,4,1,5,5,1,2,3
gated_alive:a_001:36044,a_001,36044,3,3,4,1,5,5,1,2,5
gated_alive:a_001:36223,a_001,36223,5,8,3,0,1,1,5,7,11
gated_alive:a_001:36295,a_001,36295,2,1,7,4,7,13,2,4,2
gated_alive:a_001:36488,a_001,36488,0,5,11,2,3,3,4,3,1
gated_alive:a_001:36589,a_001,36589,1,0,0,1,5,5,1,2,5
gated_alive:a_001:36675,a_001,36675,1,4,0,1,5,5,3,1,4
gated_alive:a_001:36697,a_001,36697,1,0,0,1,2,2,3,1,4
gated_alive:a_001:36861,a_001,36861,5,2,1,0,1,1,0,0,8
gated_alive:a_001:36864,a_001,36864,0,5,11,2,3,3,4,3,1
gated_alive:a_001:36872,a_001,36872,5,2,1,0,1,1,0,0,0
gated_alive:a_001:37394,a_001,37394,1,0,0,1,2,2,3,1,4
gated_alive:a_001:37521,a_001,37521,1,0,0,1,2,2,3,1,4
gated_alive:a_001:37602,a_001,37602,1,0,0,1,2,2,3,1,4
gated_alive:a_001:37795,a_001,37795,3,3,4,1,5,5,1,2,3
gated_alive:a_001:37873,a_001,37873,2,6,2,4,7,13,2,4,2
gated_alive:a_001:37913,a_001,37913,3,4,4,1,5,5,1,2,3
gated_alive:a_001:38008,a_001,38008,0,5,11,0,0,7,4,7,12
gated_alive:a_001:38109,a_001,38109,1,0,0,1,2,2,3,1,4
gated_alive:a_001:38214,a_001,38214,1,0,0,1,2,2,3,1,6
gated_alive:a_001:38349,a_001,38349,5,2,3,0,1,1,5,7,11
gated_alive:a_001:38453,a_001,38453,3,3,4,1,5,5,1,2,5
gated_alive:a_001:38464,a_001,38464,3,4,4,1,5,5,1,2,3
gated_alive:a_001:38592,a_001,38592,5,8,3,0,1,1,5,7,11
gated_alive:a_001:38605,a_001,38605,1,3,4,1,5,5,1,2,5
gated_alive:a_001:38636,a_001,38636,1,0,6,0,0,6,4,3,11
gated_alive:a_001:38880,a_001,38880,5,8,10,0,1,1,0,0,9
gated_alive:a_001:38960,a_001,38960,3,9,12,1,5,5,1,2,3
gated_alive:a_001:39597,a_001,39597,0,5,11,2,3,3,4,3,1
gated_alive:a_001:39957,a_001,39957,3,3,4,1,2,2,1,2,5
gated_alive:a_001:40194,a_001,40194,3,3,4,1,5,5,1,2,5
gated_alive:a_001:40290,a_001,40290,1,0,0,1,2,2,3,1,4
gated_alive:a_001:40435,a_001,40435,1,0,0,1,2,2,3,8,10
gated_alive:a_001:40544,a_001,40544,2,6,5,3,6,8,2,4,2
gated_alive:a_001:40608,a_001,40608,3,3,4,1,5,5,1,2,3
gated_alive:a_001:40645,a_001,40645,3,6,5,3,6,9,2,6,9
gated_alive:a_001:40758,a_001,40758,1,4,0,1,5,5,3,1,4
gated_alive:a_001:40784,a_001,40784,1,4,0,1,5,5,3,1,4
gated_alive:a_001:40951,a_001,40951,0,5,11,2,3,3,4,3,1
gated_alive:a_001:41057,a_001,41057,1,0,0,1,5,5,1,2,5
gated_alive:a_001:41069,a_001,41069,1,0,0,1,2,2,3,1,4
gated_alive:a_001:41087,a_001,41087,3,9,12,3,6,8,1,6,3
gated_alive:a_001:41175,a_001,41175,1,0,0,1,2,2,3,1,4
gated_alive:a_001:41402,a_001,41402,0,4,8,3,6,8,2,4,2
gated_alive:a_001:41428,a_001,41428,5,2,1,0,1,1,0,0,0
gated_alive:a_001:41642,a_001,41642,3,9,12,3,6,8,1,6,3
gated_alive:a_001:41823,a_001,41823,3,9,4,1,5,5,1,2,3
gated_alive:a_001:42002,a_001,42002,5,2,1,0,0,7,0,0,12
gated_alive:a_001:42321,a_001,42321,2,6,2,3,9,12,2,4,2
gated_alive:a_001:42644,a_001,42644,3,3,4,1,5,5,1,2,5
gated_alive:a_001:42757,a_001,42757,1,0,0,1,2,2,3,1,4
gated_alive:a_001:42866,a_001,42866,1,4,0,1,2,2,3,1,4
gated_alive:a_001:43084,a_001,43084,1,0,0,1,2,2,3,1,4
gated_alive:a_001:43688,a_001,43688,0,4,8,0,1,1,0,5,8
gated_alive:a_001:43812,a_001,43812,3,9,13,3,9,12,5,10,16
gated_alive:a_001:44525,a_001,44525,3,3,4,1,5,5,1,2,5
gated_alive:a_001:44581,a_001,44581,5,2,1,0,1,1,0,0,0
gated_alive:a_001:44645,a_001,44645,5,2,1,0,1,1,0,0,0
gated_alive:a_001:44753,a_001,44753,0,5,11,2,3,3,4,3,1
gated_alive:a_001:44755,a_001,44755,3,4,4,1,5,5,1,2,3
gated_alive:a_001:44875,a_001,44875,3,4,4,1,5,5,1,2,3
gated_alive:a_001:44922,a_001,44922,3,4,13,3,9,12,5,10,16
gated_alive:a_001:45369,a_001,45369,3,3,4,1,5,5,1,2,3
gated_alive:a_001:45397,a_001,45397,3,3,4,1,5,5,1,2,3
gated_alive:a_001:45504,a_001,45504,3,3,4,1,5,5,1,2,3
gated_alive:a_001:45528,a_001,45528,5,2,1,0,1,1,0,0,0
gated_alive:a_001:45583,a_001,45583,1,0,0,1,2,2,3,1,4
gated_alive:a_001:45666,a_001,45666,2,9,12,4,7,10,2,4,2
gated_alive:a_001:45681,a_001,45681,0,5,11,2,3,3,4,3,1
gated_alive:a_001:45831,a_001,45831,0,5,11,2,3,3,4,3,1
gated_alive:a_001:46234,a_001,46234,0,2,1,0,1,1,0,8,10
gated_alive:a_001:46321,a_001,46321,5,2,1,0,1,1,0,0,0
gated_alive:a_001:46335,a_001,46335,1,0,0,1,2,2,3,1,4
gated_alive:a_001:46602,a_001,46602,3,9,12,1,5,5,1,6,3
gated_alive:a_001:46665,a_001,46665,5,2,1,0,1,1,0,0,0
gated_alive:a_001:46945,a_001,46945,0,5,11,2,3,3,4,3,1
gated_alive:a_001:47090,a_001,47090,0,5,11,2,3,3,4,3,1
gated_alive:a_001:47526,a_001,47526,1,0,0,1,2,2,3,1,6
gated_alive:a_001:47699,a_001,47699,0,5,11,0,0,0,4,8,10
gated_alive:a_001:47795,a_001,47795,1,4,8,1,2,2,3,1,4
gated_alive:a_001:47934,a_001,47934,5,2,3,0,1,1,0,7,12
gated_alive:a_001:48236,a_001,48236,5,2,1,0,1,1,0,0,8
gated_alive:a_001:48510,a_001,48510,0,5,11,2,3,3,4,3,1
gated_alive:a_001:49049,a_001,49049,1,0,0,1,5,5,3,1,4
gated_alive:a_001:49115,a_001,49115,2,6,2,3,6,8,2,4,2
gated_alive:a_001:49280,a_001,49280,1,0,0,1,2,2,3,1,6
gated_alive:a_001:49409,a_001,49409,5,2,1,0,1,1,0,0,0
gated_alive:a_001:49646,a_001,49646,2,6,2,4,7,10,2,4,2
gated_alive:a_001:49800,a_001,49800,3,9,12,3,9,12,1,6,3
gated_alive:a_001:49883,a_001,49883,5,2,1,0,0,6,0,0,0
gated_alive:a_001:50278,a_001,50278,0,5,11,2,3,3,4,3,11
gated_alive:a_001:50491,a_001,50491,2,1,7,4,7,13,2,4,2
gated_alive:a_001:51096,a_001,51096,3,3,4,1,5,5,1,2,5
gated_alive:a_001:51479,a_001,51479,1,4,0,1,5,5,1,2,4
gated_alive:a_001:51583,a_001,51583,1,0,0,1,2,2,3,1,4
gated_alive:a_001:51600,a_001,51600,1,4,0,1,5,5,1,2,3
gated_alive:a_001:51693,a_001,51693,5,2,1,0,1,1,0,0,0
gated_alive:a_001:51710,a_001,51710,5,8,3,0,1,1,0,0,11
gated_alive:a_001:52017,a_001,52017,1,0,0,2,3,3,3,1,4
gated_alive:a_001:52160,a_001,52160,0,5,11,2,3,3,4,3,1
gated_alive:a_001:52164,a_001,52164,3,9,12,3,6,8,1,6,3
gated_alive:a_001:52165,a_001,52165,0,4,8,2,3,3,2,5,7
gated_alive:a_001:52202,a_001,52202,2,6,2,4,7,10,2,4,2
gated_alive:a_001:52700,a_001,52700,1,0,0,1,5,5,3,1,4
gated_alive:a_001:53331,a_001,53331,0,5,11,2,3,3,4,3,1
gated_alive:a_001:53561,a_001,53561,0,5,11,2,3,3,4,3,1
gated_alive:a_001:53628,a_001,53628,5,2,3,2,3,3,5,7,11
gated_alive:a_001:54164,a_001,54164,3,3,4,1,5,5,1,2,3
gated_alive:a_001:54221,a_001,54221,5,2,1,0,1,1,4,8,10
gated_alive:a_001:54263,a_001,54263,0,4,8,3,6,9,2,6,9
gated_alive:a_001:54385,a_001,54385,3,9,12,3,6,8,1,2,9
gated_alive:a_001:54430,a_001,54430,3,3,4,1,5,5,1,2,3
gated_alive:a_001:54464,a_001,54464,0,5,11,2,3,3,4,3,1
gated_alive:a_001:54472,a_001,54472,3,4,5,3,6,8,2,6,9
gated_alive:a_001:54533,a_001,54533,0,4,8,0,1,1,0,5,7
gated_alive:a_001:54613,a_001,54613,1,0,0,1,2,2,3,1,4
gated_alive:a_001:54700,a_001,54700,0,5,11,2,3,3,4,3,1
gated_alive:a_001:54772,a_001,54772,3,3,4,1,5,5,1,2,3
gated_alive:a_001:54860,a_001,54860,0,5,11,2,3,3,4,3,1
gated_alive:a_001:55103,a_001,55103,1,0,6,1,5,5,3,1,6
gated_alive:a_001:55215,a_001,55215,0,5,11,2,3,3,4,3,1
gated_alive:a_001:55503,a_001,55503,0,5,11,0,0,0,4,8,10
gated_alive:a_001:55626,a_001,55626,2,1,7,4,7,13,2,4,2
gated_alive:a_001:55730,a_001,55730,0,2,1,0,1,1,0,0,0
gated_alive:a_001:55911,a_001,55911,1,4,0,1,2,2,3,1,4
gated_alive:a_001:55930,a_001,55930,1,4,0,1,5,5,1,2,5
gated_alive:a_001:56073,a_001,56073,1,4,0,1,5,5,1,2,4
gated_alive:a_001:56221,a_001,56221,0,5,11,2,3,3,4,3,1
gated_alive:a_001:57067,a_001,57067,5,2,1,0,1,1,0,0,0
gated_alive:a_001:57100,a_001,57100,0,4,8,2,3,3,2,5,7
gated_alive:a_001:57103,a_001,57103,3,9,12,1,5,5,1,6,3
gated_alive:a_001:57134,a_001,57134,0,5,11,2,3,3,4,3,1
gated_alive:a_001:57349,a_001,57349,3,3,4,1,5,5,1,2,5
gated_alive:a_001:57358,a_001,57358,5,2,1,0,1,1,0,0,0
gated_alive:a_001:57395,a_001,57395,5,2,1,0,0,7,0,7,12
gated_alive:a_001:57763,a_001,57763,3,6,5,3,6,9,2,6,9
gated_alive:a_001:57777,a_001,57777,1,0,0,2,3,3,3,1,1
gated_alive:a_001:58717,a_001,58717,3,3,4,1,5,5,1,2,5
gated_alive:a_001:58799,a_001,58799,3,4,5,3,6,9,2,6,9
gated_alive:a_001:58810,a_001,58810,3,4,4,1,5,5,1,2,3
gated_alive:a_001:58845,a_001,58845,3,9,12,3,6,8,1,2,3
gated_alive:a_001:59039,a_001,59039,5,2,3,0,1,1,0,0,8
gated_alive:a_001:59191,a_001,59191,0,4,8,2,3,3,2,5,7
gated_alive:a_001:59207,a_001,59207,2,1,7,4,7,13,2,4,2
gated_alive:a_001:59232,a_001,59232,2,6,2,3,6,8,2,4,2
gated_alive:a_001:59518,a_001,59518,0,5,11,2,3,3,4,3,1
gated_alive:a_001:59716,a_001,59716,5,8,3,0,0,7,0,7,12
gated_alive:a_001:59987,a_001,59987,1,0,6,0,0,6,0,0,6
gated_alive:a_001:60211,a_001,60211,3,3,4,1,5,5,1,2,3
gated_alive:a_001:60456,a_001,60456,1,0,0,1,2,2,3,1,4
