method,marker,mean_z,median_z,q1_z,q3_z,n_donors
Citrus,CD4,0.130606320910502,0.1661626508890366,0.014166358485815414,0.21986400388390573,20
Citrus,CD8,0.9010611564084237,0.8859157006583099,0.7748374119568102,1.065494145206374,20
Citrus,CD57,1.601775544347032,1.5668773841221322,1.4271522520845,1.770694093784934,20
Citrus,2DL1-S1,1.2009074466592007,1.1249475725067446,1.0298905873293196,1.418385737445429,20
Citrus,TRAIL,0.19687331865532984,0.1820389086260222,0.13015616843171882,0.26865247291841937,20
Citrus,2DL2-L3-S2,0.601363177190015,0.5694664220990997,0.38914173275218644,0.7093358028420077,20
Citrus,CD16,0.3991828139651542,0.3329785020325774,0.09329721914654837,0.6689972327073836,20
Citrus,CD10,0.19678505003178365,0.18452295893973014,0.06297532979294265,0.2977749385000011,20
Citrus,3DL1-S1,0.11713665975747381,0.08391774577687572,-0.033143481306230224,0.17712440842009022,20
Citrus,CD117,0.16676514944100268,0.16687951539837922,0.0867830062479484,0.2581032805114876,20
Citrus,2DS4,0.29072909241395917,0.22542939639788673,-0.17408687062970374,0.5754933989229419,20
Citrus,ILT2-CD85j,0.14608552195071817,0.1748947221501277,0.003416720104949131,0.24013670287915584,20
Citrus,NKp46,0.2087363477111941,0.18091836332307076,0.034706030132286333,0.3436228747645801,20
Citrus,NKG2D,0.8009782639316103,0.7863969209561457,0.6603537792339693,0.987342247492629,20
Citrus,NKG2C,0.9715627650124302,0.8728680935039789,0.5382225778272998,1.2230595009960743,20
Citrus,2B4,0.45729569549700966,0.5185338768796206,0.18424901361914583,0.6807757002010129,20
Citrus,CD33,-0.02232359577893753,-0.02875918602349136,-0.42881465578645517,0.40190782527029695,20
Citrus,CD11b,0.5460981276337233,0.48887415592267264,0.41208091707352223,0.7192570236154134,20
Citrus,NKp30,0.734063516640843,0.7379759529649712,0.6364956349937786,0.8547109498441299,20
Citrus,CD122,0.5290734024260914,0.5340655431079752,0.41575757853190887,0.6289022810383866,20
Citrus,3DL1,0.16505035189705217,0.08783503020051173,0.02576436940340373,0.22459998661303046,20
Citrus,NKp44,0.1149514101139028,0.05767952276637936,0.003176881510941407,0.23392423810372912,20
Citrus,CD127,0.09651814513464554,0.008955555121827347,-0.19724898873583185,0.4152388460672871,20
Citrus,2DL1,0.306094848827116,0.2748218900203201,0.091517267133413,0.4693539324004125,20
Citrus,CD94,0.7966099491603778,0.7384176504556736,0.5000592009079419,1.0731698356678652,20
Citrus,CD34,0.02387153110854677,0.007015238211736326,-0.11923109556778863,0.12010230384467244,20
Citrus,CCR7,-0.0626619513467076,-0.06652559780743218,-0.3057038705849483,0.07250677119955075,20
Citrus,2DL3,0.46802989485251273,0.37799836503393247,0.1687597655955784,0.7518876371317624,20
Citrus,NKG2A,0.08627609776291027,-0.017637239056108693,-0.19666062745882187,0.3211686227157539,20
Citrus,HLA-DR,-0.11882324428720248,-0.12027883592020594,-0.2980446730996387,0.002205687166629569,20
Citrus,2DL4,-0.07151287461271379,-0.10400414686932073,-0.17721801832820142,0.013835970390126342,20
Citrus,CD56,0.569207583137568,0.5651778690460416,0.40219103296362974,0.7616817796934887,20
Citrus,2DL5,0.09119731915856859,0.08312338308301975,-0.1004661097160608,0.2262667272320087,20
Citrus,CD25,0.059251511366221934,0.01438141387710104,-0.03968742707313508,0.14638708911579973,20
SVM,CD3,0.3098090932408789,0.35716423801714803,0.06624903113691205,0.5773487336572913,20
SVM,CD27,-0.08413997376614271,-0.14969297563078682,-0.3282789988480872,0.14245836961559666,20
SVM,CD19,0.07026784460027193,0.04657467501113493,-0.04353641333174503,0.15209699332703133,20
SVM,CD4,-0.07430003823747602,-0.03540343947207048,-0.29151839198281504,0.055731704104714105,20
SVM,CD8,0.9988273563339153,1.001142201481091,0.7966270180887578,1.1599440123473106,20
SVM,CD57,2.033745343256697,1.946976967564995,1.7438866610382322,2.2741181973219344,20
SVM,2DL1-S1,1.218109040878586,1.1972598011470341,0.7685237189108945,1.552727917551941,20
SVM,TRAIL,0.44192735893707313,0.35105756152716083,0.2974145810320587,0.4924762347320022,20
SVM,2DL2-L3-S2,1.02930573424252,1.0857316220180515,0.6103858342327393,1.4746113399582692,20
SVM,CD16,1.6038247116351567,1.6786782749544638,1.302334326681052,1.8685594596955084,20
SVM,CD10,0.9091554864777756,1.0139743964571988,0.6370476129852278,1.1846565985974402,20
SVM,3DL1-S1,0.4795786488765036,0.37209569202469606,0.15870927715574387,0.6148263535970204,20
SVM,CD117,0.3924108222634427,0.337736459158423,0.21739647828778397,0.497341843064583,20
SVM,2DS4,1.6419307887123058,1.7302101226125932,0.45530914218679264,2.6592973435665552,20
SVM,ILT2-CD85j,0.2860568810863278,0.25844512266705627,0.0010321850209274296,0.5695668667129526,20
SVM,NKp46,0.1716057577318185,0.15772054612534298,-0.013249681286124243,0.2699573511078079,20
SVM,NKG2D,1.2215143390535628,1.2442231073557881,0.9791508864027307,1.501898830769485,20
SVM,NKG2C,3.0037954057618625,3.16638747987228,2.030707947194201,4.076727536278975,20
SVM,2B4,0.6067509268327764,0.5125751237856638,0.2653424185449563,0.9538054968788938,20
SVM,CD33,-0.0992213747455705,-0.20208615062780907,-0.35195909977861684,0.2921590579362937,20
SVM,CD11b,0.2595699616343011,0.20255963925165477,0.12715402790912106,0.4261459495491186,20
SVM,NKp30,0.7734056710990405,0.8098004774808176,0.6420775920387558,0.9853515972123568,20
SVM,CD122,0.41518715505483794,0.4195248745231738,0.22593148533217078,0.5987833705965664,20
SVM,3DL1,0.6602832766357405,0.5221190611814155,0.20310985400358425,0.859717060539042,20
SVM,NKp44,0.2221531654876597,0.1534229498677903,0.005732325140645452,0.40599365691658795,20
SVM,CD127,-0.24561867481253138,-0.3205565571138257,-0.38420039338674183,-0.10280860882304002,20
SVM,2DL1,0.04194754681648941,0.03875270373232909,-0.07380824730701657,0.12353209208283837,20
SVM,CD94,1.9041765550760854,1.9243664529586106,1.623345663342784,2.3667238633259076,20
SVM,CD34,0.3005561534672417,0.2782187675128693,0.08510699812678599,0.5340043375983244,20
SVM,CCR7,-0.2924624847729699,-0.3225178932673092,-0.4647205063948414,-0.2610625975905915,20
SVM,2DL3,1.3115092323508337,1.3325152224572818,0.23490031581694673,2.1300844860817536,20
SVM,NKG2A,0.3885115419136072,0.1971557971010756,0.023773844705419288,0.6746845690537959,20
SVM,HLA-DR,0.04493430968319394,0.062305902308159765,-0.15408517501685934,0.19503015831641302,20
SVM,2DL4,0.3303656595159246,0.3126921871652677,0.1960006341933084,0.550762204621773,20
SVM,CD56,1.2439820748191992,1.3504861831466466,0.8645470460699252,1.6793984372755197,20
SVM,2DL5,0.28362359749260485,0.34693051307857253,0.14929163159153694,0.4562931607406495,20
SVM,CD25,0.40335905875281564,0.41236345653426976,0.28263897227760565,0.5181619639952052,20
